André Seite;Kriegsnarbe;Reiche Eltern;Nachtwanderung;Sportler
Max Imum;Schnauzbart;Queer;Gremiensemester;Große Liebe
Sue Doku;Monobraue;cis-Frau;SHK;Große Liebe
Phill Ipienen;Pickel;Analphabet;Sportler;Wirtschaftsjob
Rhea Lität;Hornbrille;Studiert nebenbei Philosophie;Russischer Hacker;Auslandssemester
Peer Anhalter;Drittes Auge;World of Warcraft süchtig;Partygänger;Schummler
Hella Wahnsinn;Warzen;Mateabhängig;Streber;Wohnungswechsel
Marie Enkäfer;Angry Face;Hobby App-Entwickler;Nachtwanderung;Sportler
Theo Retisch;Augenringe;Youtube Star;Gremiensemester;Große Liebe
Anna Gramm;Schönheits- fleck;Lyriker;SHK;Große Liebe
Marie Niert;Schnurrhaare;Grammer-Nazi;Sportler;Wirtschaftsjob
Perry Ode;Ingo Lenßen Bart;Rampensau;Russischer Hacker;Auslandssemester
Peter Silie;Nerdbart;Aufbrausend;Partygänger;Schummler
Jean Darm;Regenbogen;Nudist;Streber;Wohnungswechsel
Anna Bolika;Glitzer;Verschlafen;Nachtwanderung;Sportler
Klaus Ur;Harry Potter Narbe;Masochist;Gremiensemester;Große Liebe
Marie Huana;Koteletten;Kannibale;SHK;Große Liebe
Finn Sternis;Conchita Wurst;Raufbold;Sportler;Wirtschaftsjob
Paula Ner;Bären;Narzist;Russischer Hacker;Auslandssemester
Karl Sberg;The Joker;Neidisch;Partygänger;Schummler
Dr. Acula;Blut;Neurotisch;Streber;Wohnungswechsel
